Chromosome/scaffold name	Gene end (bp)	Gene start (bp)	Gene name	Strand
chr1	92486876	92474762	GFI1_ENSG00000162676	-
chr1	23531220	23506430	E2F2_ENSG00000007968	-
chr1	3736201	3652520	TP73_ENSG00000078900	+
chr1	18748866	18631006	PAX7_ENSG00000009709	+
chr2	156342348	156324432	NR4A2_ENSG00000153234	-
chr2	73293705	73290929	EGR4_ENSG00000135625	-
chr2	191151596	191029576	STAT4_ENSG00000138378	-
chr2	222298996	222199888	PAX3_ENSG00000135903	-
chr2	74503316	74497517	LBX2_ENSG00000179528	-
chr2	120992653	120735623	GLI2_ENSG00000074047	+
chr2	45009430	45005161	SIX2_ENSG00000170577	-
chr2	176119942	176108790	HOXD10_ENSG00000128710	+
chr2	46386703	46293667	EPAS1_ENSG00000116016	+
chr2	60931610	60881521	REL_ENSG00000162924	+
chr2	73212513	73202258	NOTO_ENSG00000214513	+
chr2	60555154	60450520	BCL11A_ENSG00000119866	-
chr2	181680876	181673088	NEUROD1_ENSG00000162992	-
chr2	5701385	5692667	SOX11_ENSG00000176887	+
chr2	191020960	190964358	STAT1_ENSG00000115415	-
chr2	161425870	161416094	TBR1_ENSG00000136535	+
chr2	72936071	72916260	EMX1_ENSG00000135638	+
chr2	70790643	70777310	FIGLA_ENSG00000183733	-
chr2	113278950	113215997	PAX8_ENSG00000125618	-
chr2	118847678	118842171	EN1_ENSG00000163064	-
chr2	66573869	66433452	MEIS1_ENSG00000143995	+
chr2	172089677	172084740	DLX1_ENSG00000144355	+
chr2	172102900	172099439	DLX2_ENSG00000115844	-
chr2	176173102	176136612	HOXD3_ENSG00000128652	+
chr2	176101193	176099730	HOXD12_ENSG00000170178	+
chr2	10002277	9951693	GRHL1_ENSG00000134317	+
chr2	175168382	175072250	ATF2_ENSG00000115966	-
chr2	15947007	15940564	MYCN_ENSG00000134323	+
chr2	85310388	85133410	TCF7L1_ENSG00000152284	+
chr2	28417312	28392448	FOSL2_ENSG00000075426	+
chr2	177392697	177227595	NFE2L2_ENSG00000116044	-
chr2	37231713	37201612	CEBPZ_ENSG00000115816	-
chr2	236168369	236165236	GBX2_ENSG00000168505	-
chr2	63057836	63050057	OTX1_ENSG00000115507	+
chr2	104858574	104855511	POU3F3_ENSG00000198914	+
chr2	176124937	176122720	HOXD9_ENSG00000128709	+
chr2	176132695	176129694	HOXD8_ENSG00000175879	+
chr2	173965702	173906459	SP3_ENSG00000172845	-
chr2	218985657	218981087	FEV_ENSG00000163497	-
chr2	207603431	207529737	CREB1_ENSG00000118260	+
chr2	11466177	11444375	E2F6_ENSG00000169016	-
chr2	70965373	70900590	VAX2_ENSG00000116035	+
chr2	176153226	176151222	HOXD4_ENSG00000170166	+
chr2	176109754	176104216	HOXD11_ENSG00000128713	+
chr2	176095938	176092891	HOXD13_ENSG00000128714	+
chr3	181714436	181711924	SOX2_ENSG00000181449	+
chr3	189897279	189631416	TP63_ENSG00000073282	+
chr3	24495756	24117153	THRB_ENSG00000151090	-
chr3	119818485	119780484	NR1I2_ENSG00000144852	+
chr3	147510293	147393422	ZIC1_ENSG00000152977	+
chr3	186110318	186046308	ETV5_ENSG00000244405	-
chr3	25597932	25174332	RARB_ENSG00000077092	+
chr3	169663618	169083499	MECOM_ENSG00000085276	-
chr3	147406860	147386046	ZIC4_ENSG00000174963	-
chr3	48299253	48241100	ZNF589_ENSG00000164048	+
chr3	27722711	27715949	EOMES_ENSG00000163508	-
chr3	33441371	33388336	UBP1_ENSG00000153560	-
chr3	87276587	87259404	POU1F1_ENSG00000064835	-
chr3	158106503	158095954	SHOX2_ENSG00000168779	-
chr3	125375354	125225561	ZNF148_ENSG00000163848	-
chr3	69968337	69739435	MITF_ENSG00000187098	+
chr3	4985323	4979116	BHLHE40_ENSG00000134107	+
chr3	169789716	169772831	MYNN_ENSG00000085274	+
chr3	57227606	57197838	HESX1_ENSG00000163666	-
chr3	71583993	70952817	FOXP1_ENSG00000114861	-
chr3	194138732	194136145	HES1_ENSG00000114315	+
chr3	128493185	128479427	GATA2_ENSG00000179348	-
chr3	12434356	12287368	PPARG_ENSG00000132170	+
chr3	149086554	149030127	HLTF_ENSG00000071794	-
chr3	187745727	187721377	BCL6_ENSG00000113916	-
chr3	15053600	14947584	NR2C2_ENSG00000177463	+
chr3	126357442	126342635	KLF15_ENSG00000163884	-
chr4	110642123	110617423	PITX2_ENSG00000164093	-
chr4	102617302	102501329	NFKB1_ENSG00000109320	+
chr4	184474580	184387713	IRF2_ENSG00000168310	-
chr4	146642474	146638893	POU4F2_ENSG00000151615	+
chr4	26435131	26163455	RBPJ_ENSG00000168214	+
chr4	13545050	13540830	NKX3-2_ENSG00000109705	-
chr4	56966678	56907876	REST_ENSG00000084093	+
chr4	108168956	108047545	LEF1_ENSG00000138795	-
chr4	188005050	187995771	ZFP42_ENSG00000179059	+
chr4	139177218	139028112	ELF2_ENSG00000109381	-
chr4	8871817	8846076	HMX1_ENSG00000215612	-
chr4	55547138	55427903	CLOCK_ENSG00000134852	-
chr4	84498450	84491987	NKX6-1_ENSG00000163623	-
chr4	190185942	190173774	DUX4_ENSG00000260596	+
chr4	38701042	38664196	KLF3_ENSG00000109787	+
chr4	148444698	148078762	NR3C2_ENSG00000151623	-
chr4	112516172	112513516	NEUROG2_ENSG00000178403	-
chr4	54102505	54099523	GSX2_ENSG00000180613	+
chr4	41748970	41744082	PHOX2B_ENSG00000109132	-
chr4	4321786	4290251	ZBTB49_ENSG00000168826	+
chr4	93830964	93828753	ATOH1_ENSG00000172238	+
chr4	4863936	4859666	MSX1_ENSG00000163132	+
chr4	145558079	145481194	SMAD1_ENSG00000170365	+
chr5	159099761	158695916	EBF1_ENSG00000164330	-
chr5	80321842	80319625	SPZ1_ENSG00000164299	+
chr5	177996242	177992235	PROP1_ENSG00000175325	-
chr5	143435512	143277931	NR3C1_ENSG00000113580	-
chr5	123194266	123089121	PRDM6_ENSG00000061455	+
chr5	173235357	173232109	NKX2-5_ENSG00000183072	-
chr5	132490798	132481609	IRF1_ENSG00000125347	-
chr5	146341722	146338839	POU4F3_ENSG00000091010	+
chr5	140125619	140107777	PURA_ENSG00000185129	+
chr5	174730893	174724533	MSX2_ENSG00000120149	+
chr5	135034813	135027735	PITX1_ENSG00000069011	-
chr5	134151865	134114711	TCF7_ENSG00000081059	+
chr5	170109725	170105897	FOXI1_ENSG00000168269	+
chr5	73448527	73444827	FOXD1_ENSG00000251493	-
chr5	150184558	150166795	CDX1_ENSG00000113722	+
chr5	138469315	138465490	EGR1_ENSG00000120738	+
chr5	154478264	154474972	HAND1_ENSG00000113196	-
chr5	2751662	2745845	IRX2_ENSG00000170561	-
chr5	88904257	88717117	MEF2C_ENSG00000081189	-
chr5	93594615	93583224	NR2F1_ENSG00000175745	+
chr5	51394738	51383391	ISL1_ENSG00000016082	+
chr6	90296908	89926529	BACH2_ENSG00000112182	-
chr6	108684774	108559835	FOXO3_ENSG00000118689	+
chr6	98839470	98834592	POU3F2_ENSG00000184486	+
chr6	50847613	50818723	TFAP2B_ENSG00000008196	+
chr6	31180731	31164337	POU5F1_ENSG00000204531	-
chr6	1613897	1609972	FOXC1_ENSG00000054598	+
chr6	21598619	21592768	SOX4_ENSG00000124766	+
chr6	41736259	41683978	TFEB_ENSG00000112561	-
chr6	43181507	43171299	SRF_ENSG00000112658	+
chr6	35497076	35473597	TEAD3_ENSG00000007866	-
chr6	45664349	45328157	RUNX2_ENSG00000124813	+
chr6	33200688	33193588	RXRB_ENSG00000204231	-
chr6	411447	391739	IRF4_ENSG00000137265	+
chr6	108188809	108166058	NR2E1_ENSG00000112333	+
chr6	144064599	143940300	PLAGL1_ENSG00000118495	-
chr6	20493715	20401906	E2F3_ENSG00000112242	+
chr6	137494250	137492202	OLIG3_ENSG00000177468	-
chr6	1395603	1389576	FOXF2_ENSG00000137273	+
chr6	1314748	1312440	FOXQ1_ENSG00000164379	+
chr6	35428191	35342558	PPARD_ENSG00000112033	+
chr6	44450426	44387525	CDC5L_ENSG00000096401	+
chr6	35295985	35258909	ZNF76_ENSG00000065029	+
chr6	28369177	28349914	ZKSCAN3_ENSG00000189298	+
chr6	50772988	50713828	TFAP2D_ENSG00000008197	+
chr6	28130082	28124560	ZSCAN16_ENSG00000196812	+
chr6	7251980	7107597	RREB1_ENSG00000124782	+
chr6	19840684	19837386	ID4_ENSG00000172201	+
chr6	34556333	34537802	SPDEF_ENSG00000124664	-
chr6	142956698	142751467	HIVEP2_ENSG00000010818	-
chr6	125761269	125747664	HEY2_ENSG00000135547	+
chr6	41099976	41072945	NFYA_ENSG00000001167	+
chr6	152129619	151656691	ESR1_ENSG00000091831	+
chr6	106109939	106086320	PRDM1_ENSG00000057657	+
chr6	53148829	53126964	GCM1_ENSG00000137270	-
chr6	122433119	122399546	HSF2_ENSG00000025156	+
chr6	170572870	170554302	TBP_ENSG00000112592	+
chr6	135219173	135181315	MYB_ENSG00000118513	+
chr6	34246231	34236873	HMGA1_ENSG00000137309	+
chr6	10881941	10873223	GCM2_ENSG00000124827	-
chr6	32190186	32184741	PBX2_ENSG00000204304	-
chr6	12164999	12008762	HIVEP1_ENSG00000095951	+
chr6	36387800	36354091	ETV7_ENSG00000010030	-
chr6	10419659	10393186	TFAP2A_ENSG00000137203	-
chr7	130734176	130731235	KLF14_ENSG00000266265	-
chr7	1543043	1530714	MAFK_ENSG00000198517	+
chr7	129757082	129611714	NRF1_ENSG00000106459	+
chr7	97024950	97020392	DLX5_ENSG00000105880	-
chr7	98212979	98211427	BHLHA15_ENSG00000180535	+
chr7	1237318	1232907	UNCX_ENSG00000164853	+
chr7	97011039	97005548	DLX6_ENSG00000006377	+
chr7	21514822	21428034	SP4_ENSG00000105866	+
chr7	17346152	16916359	AHR_ENSG00000106546	+
chr7	35254147	35202430	TBX20_ENSG00000164532	-
chr7	151174745	151148589	GBX1_ENSG00000164900	-
chr7	138002067	137874979	CREB3L2_ENSG00000182158	-
chr7	107202529	107168961	HBP1_ENSG00000105856	+
chr7	127618114	127610292	PAX4_ENSG00000106331	-
chr7	102283958	101815904	CUX1_ENSG00000257923	+
chr7	27095996	27092993	HOXA1_ENSG00000105991	-
chr7	149226248	149195485	ZNF282_ENSG00000170265	+
chr7	155464831	155458129	EN2_ENSG00000164778	+
chr7	19117672	19020991	TWIST1_ENSG00000122691	-
chr7	4771443	4682309	FOXK1_ENSG00000164916	+
chr7	42237870	41960950	GLI3_ENSG00000106571	-
chr7	50405101	50304068	IKZF1_ENSG00000185811	+
chr7	122310691	122301394	FEZF1_ENSG00000128610	-
chr7	114693772	114086327	FOXP2_ENSG00000128573	+
chr7	157010651	156994051	MNX1_ENSG00000130675	-
chr7	27175180	27162435	HOXA9_ENSG00000078399	-
chr7	100041689	100015572	ZKSCAN1_ENSG00000106261	+
chr7	27143668	27141052	HOXA5_ENSG00000106004	-
chr7	144410227	144397240	NOBOX_ENSG00000106410	-
chr7	27180261	27170591	HOXA10_ENSG00000253293	-
chr7	27102811	27100354	HOXA2_ENSG00000105996	-
chr7	15686812	15611212	MEOX2_ENSG00000106511	-
chr7	27157936	27153716	HOXA7_ENSG00000122592	-
chr7	73624543	73593194	MLXIPL_ENSG00000009950	-
chr7	55942530	55887475	ZNF713_ENSG00000178665	+
chr7	27185223	27181510	HOXA11_ENSG00000005073	-
chr7	27200106	27193503	HOXA13_ENSG00000106031	-
chr7	39493095	38977998	POU6F2_ENSG00000106536	+
chr7	13991425	13891228	ETV1_ENSG00000006468	-
chr7	128950035	128937612	IRF5_ENSG00000128604	+
chr7	28825894	28299321	CREB5_ENSG00000146592	+
chr8	42843325	42836674	THAP1_ENSG00000131931	-
chr8	85217158	85177225	E2F5_ENSG00000133740	+
chr8	66614247	66562175	MYBL1_ENSG00000185697	-
chr8	144314722	144291591	HSF1_ENSG00000185122	+
chr8	64583628	64580367	BHLHE22_ENSG00000180828	+
chr8	144336281	144330565	SCRT1_ENSG00000261678	-
chr8	75566843	75407914	HNF4G_ENSG00000164749	+
chr8	127420066	127322183	POU5F1B_ENSG00000212993	+
chr8	56211324	56160904	PLAG1_ENSG00000181690	-
chr8	22693302	22687659	EGR3_ENSG00000179388	-
chr8	98952104	98944403	OSR2_ENSG00000164920	+
chr8	127741434	127735434	MYC_ENSG00000136997	+
chr8	48921740	48917604	SNAI2_ENSG00000019549	-
chr8	23682927	23678693	NKX3-1_ENSG00000167034	-
chr8	54460888	54457935	SOX17_ENSG00000164736	+
chr8	143430406	143419182	MAFA_ENSG00000182759	-
chr8	11760002	11676959	GATA4_ENSG00000136574	+
chr8	29064764	28890394	HMBOX1_ENSG00000147421	+
chr8	10730512	10723768	SOX7_ENSG00000171056	-
chr8	70071693	70051651	PRDM14_ENSG00000147596	-
chr8	101669726	101492432	GRHL2_ENSG00000083307	+
chr8	79767863	79764010	HEY1_ENSG00000164683	-
chr8	144476335	144473412	FOXH1_ENSG00000160973	-
chr8	47739086	47736909	CEBPD_ENSG00000221869	-
chr9	14398983	14081843	NFIB_ENSG00000147862	-
chr9	70414624	70384597	KLF9_ENSG00000119138	-
chr9	91423862	91409045	NFIL3_ENSG00000165030	-
chr9	126701032	126614443	LMX1B_ENSG00000136944	+
chr9	124771310	124517275	NR6A1_ENSG00000148200	-
chr9	134440585	134317098	RXRA_ENSG00000186350	+
chr9	124033301	124001670	LHX2_ENSG00000106689	+
chr9	125967377	125747345	PBX3_ENSG00000167081	+
chr9	132991687	132944000	GFI1B_ENSG00000165702	+
chr9	124507430	124481236	NR5A1_ENSG00000136931	-
chr9	4348392	3824127	GLIS3_ENSG00000107249	-
chr9	969090	841690	DMRT1_ENSG00000137090	+
chr9	35737004	35732335	CREB3_ENSG00000107175	+
chr9	136205128	136196250	LHX3_ENSG00000107187	-
chr9	132590266	132582185	BARHL1_ENSG00000125492	+
chr9	129722674	129665641	PRRX2_ENSG00000167157	+
chr9	122913330	122908056	ZBTB6_ENSG00000186130	-
chr9	93955372	93951622	BARX1_ENSG00000131668	-
chr9	122229626	122202577	LHX6_ENSG00000106852	-
chr9	3526004	3218297	RFX3_ENSG00000080298	-
chr9	107490482	107484852	KLF4_ENSG00000136826	-
chr9	99866891	99821855	NR4A3_ENSG00000119508	+
chr9	37034185	36833275	PAX5_ENSG00000196092	-
chr10	123137741	123135962	HMX3_ENSG00000188620	+
chr10	62096944	61901300	ARID5B_ENSG00000150347	+
chr10	23194252	23192327	PTF1A_ENSG00000168267	+
chr10	100829941	100735603	PAX2_ENSG00000075891	+
chr10	110287365	110207605	MXI1_ENSG00000119950	+
chr10	35212958	35126791	CREM_ENSG00000095794	+
chr10	99536524	99532933	NKX2-3_ENSG00000119919	+
chr10	31529814	31318495	ZEB1_ENSG00000148516	+
chr10	113167678	112950250	TCF7L2_ENSG00000148737	+
chr10	3785281	3775996	KLF6_ENSG00000067082	-
chr10	123150672	123148122	HMX2_ENSG00000188816	+
chr10	49396016	49364181	DRGX_ENSG00000165606	-
chr10	102402529	102394110	NFKB2_ENSG00000077150	+
chr10	117138301	117128521	VAX1_ENSG00000148704	-
chr10	133241929	133237404	VENTX_ENSG00000151650	+
chr10	62919900	62811996	EGR2_ENSG00000122877	-
chr10	8075203	8045378	GATA3_ENSG00000107485	+
chr10	117549546	117542444	EMX2_ENSG00000170370	+
chr10	132786052	132783179	NKX6-2_ENSG00000148826	-
chr10	102241474	102230186	PITX3_ENSG00000107859	-
chr10	101137789	101130505	TLX1_ENSG00000107807	+
chr11	65900573	65892049	FOSL1_ENSG00000175592	-
chr11	120319944	120236640	POU2F3_ENSG00000137709	+
chr11	34513805	34478793	ELF5_ENSG00000135374	-
chr11	128587558	128458761	ETS1_ENSG00000134954	-
chr11	44310166	44260440	ALX4_ENSG00000052850	-
chr11	64316743	64305572	ESRRA_ENSG00000173153	+
chr11	101130524	101029624	PGR_ENSG00000082175	-
chr11	47269032	47248300	NR1H3_ENSG00000025434	+
chr11	34661057	34621093	EHF_ENSG00000135373	+
chr11	19241620	19224063	E2F8_ENSG00000129173	-
chr11	119136044	119121587	HINFP_ENSG00000172273	+
chr11	46321422	46277661	CREB3L1_ENSG00000157613	+
chr11	122981720	122977570	BSX_ENSG00000188909	-
chr11	129452279	129375940	BARX2_ENSG00000043039	+
chr11	65663094	65653596	RELA_ENSG00000173039	-
chr11	65797219	65787022	OVOL1_ENSG00000172818	+
chr11	13387266	13276652	ARNTL_ENSG00000133794	+
chr11	128813267	128686535	FLI1_ENSG00000151702	+
chr11	72245664	72239077	PHOX2A_ENSG00000165462	-
chr11	17722131	17719568	MYOD1_ENSG00000129152	+
chr11	9528524	9460319	ZNF143_ENSG00000166478	+
chr11	12944483	12674591	TEAD1_ENSG00000187079	+
chr11	615999	612553	IRF7_ENSG00000185507	-
chr11	32435630	32387775	WT1_ENSG00000184937	-
chr11	47378576	47354860	SPI1_ENSG00000066336	-
chr11	2270952	2268495	ASCL2_ENSG00000183734	-
chr11	31818062	31784779	PAX6_ENSG00000007372	-
chr12	80709474	80707498	MYF6_ENSG00000111046	+
chr12	107761272	107732866	PRDM4_ENSG00000110851	-
chr12	111350554	111034024	CUX2_ENSG00000111249	+
chr12	57132139	57095408	STAT6_ENSG00000166888	-
chr12	121002512	120978543	HNF1A_ENSG00000135100	+
chr12	102960516	102957686	ASCL1_ENSG00000139352	+
chr12	104138289	104117077	NFYB_ENSG00000120837	-
chr12	114408442	114353931	TBX5_ENSG00000089225	-
chr12	53626410	53507856	ATF7_ENSG00000170653	-
chr12	8055503	8032703	FOXJ2_ENSG00000065970	+
chr12	95073703	95020229	NR2C1_ENSG00000120798	-
chr12	6689572	6666477	ZNF384_ENSG00000126746	-
chr12	96269835	96194382	ELK3_ENSG00000111145	+
chr12	7799141	7787794	NANOG_ENSG00000111704	+
chr12	114684164	114670254	TBX3_ENSG00000135111	-
chr12	26125127	26120026	BHLHE41_ENSG00000123095	-
chr12	11895402	11649854	ETV6_ENSG00000139083	+
chr12	77065580	77021247	E2F7_ENSG00000165891	-
chr12	47943048	47841537	VDR_ENSG00000111424	-
chr12	106762803	106582907	RFX4_ENSG00000111783	+
chr12	56360155	56341597	STAT2_ENSG00000170581	-
chr12	52059507	52022832	NR4A1_ENSG00000123358	+
chr12	51173134	51093663	TFCP2_ENSG00000135457	-
chr12	51217708	51186936	POU6F1_ENSG00000184271	-
chr12	53416446	53380176	SP1_ENSG00000185591	+
chr12	57472262	57460135	GLI1_ENSG00000111087	+
chr12	2877155	2857681	FOXM1_ENSG00000111206	-
chr12	50821122	50763710	ATF1_ENSG00000123268	+
chr12	53232980	53210567	RARG_ENSG00000172819	-
chr12	85301784	85280107	ALX1_ENSG00000180318	+
chr12	53195141	53180700	ZNF740_ENSG00000139651	+
chr12	24562544	23529500	SOX5_ENSG00000134532	-
chr12	100564413	100473708	NR1H4_ENSG00000012504	+
chr12	54012362	54009106	HOXC8_ENSG00000037965	+
chr12	54301121	54292111	NFE2_ENSG00000123405	-
chr12	54030823	53990624	HOXC6_ENSG00000197757	+
chr12	53958956	53954834	HOXC12_ENSG00000123407	+
chr12	101486997	101475421	SPIC_ENSG00000166211	+
chr12	65966295	65824131	HMGA2_ENSG00000149948	+
chr12	53990279	53985065	HOXC10_ENSG00000180818	+
chr12	53977643	53973126	HOXC11_ENSG00000123388	+
chr12	57521737	57516588	DDIT3_ENSG00000175197	-
chr12	53946544	53938765	HOXC13_ENSG00000123364	+
chr12	3040673	2959330	TEAD4_ENSG00000197905	+
chr13	27926231	27920020	PDX1_ENSG00000139515	+
chr13	27794768	27792643	GSX1_ENSG00000169840	+
chr13	94712399	94709622	SOX21_ENSG00000125285	-
chr13	113641470	113584721	TFDP1_ENSG00000198176	+
chr13	27971139	27962137	CDX2_ENSG00000165556	-
chr13	99986773	99981772	ZIC2_ENSG00000043355	+
chr13	112070488	112067647	SOX1_ENSG00000182968	+
chr13	78603560	78598362	POU4F1_ENSG00000152192	-
chr13	41061440	40932028	ELF1_ENSG00000120690	-
chr13	73995056	73686089	KLF12_ENSG00000118922	-
chr13	40666597	40469953	FOXO1_ENSG00000150907	-
chr13	73077542	73054976	KLF5_ENSG00000102554	+
chr14	65102695	65006174	MAX_ENSG00000125952	-
chr14	64338112	64084232	ESR2_ENSG00000140009	-
chr14	24166565	24161053	IRF9_ENSG00000213928	+
chr14	56810479	56799905	OTX2_ENSG00000165588	-
chr14	100282792	100238298	YY1_ENSG00000100811	+
chr14	75474111	75427716	JDP2_ENSG00000140044	+
chr14	37596059	37589984	FOXA1_ENSG00000129514	-
chr14	61748259	61695513	HIF1A_ENSG00000100644	+
chr14	24379604	24365673	NFATC4_ENSG00000100968	+
chr14	76501837	76310712	ESRRB_ENSG00000119715	+
chr14	73932511	73886617	ZNF410_ENSG00000119725	+
chr14	75547015	75522425	BATF_ENSG00000156127	+
chr14	28770277	28760330	FOXG1_ENSG00000176165	+
chr14	75282230	75278774	FOS_ENSG00000170345	+
chr14	94770230	94768216	GSC_ENSG00000133937	-
chr14	36521149	36516392	NKX2-1_ENSG00000136352	-
chr14	36582607	36580579	NKX2-8_ENSG00000136327	-
chr14	24115014	24080107	NRL_ENSG00000129535	-
chr14	74262738	74239472	VSX2_ENSG00000119614	+
chr14	23299447	23272422	HOMEZ_ENSG00000215271	-
chr14	60658259	60643415	SIX1_ENSG00000126778	-
chr14	21104722	21090046	ZNF219_ENSG00000165804	-
chr14	23119616	23117304	CEBPE_ENSG00000092067	-
chr15	41773081	41621224	MGA_ENSG00000174197	+
chr15	89751310	89748661	MESP1_ENSG00000166823	-
chr15	60061730	60004222	FOXB1_ENSG00000171956	+
chr15	67195195	67063763	SMAD3_ENSG00000166949	+
chr15	71818259	71792638	NR2E3_ENSG00000278570	+
chr15	52791078	52756989	ONECUT1_ENSG00000169856	-
chr15	76342476	76336724	ISL2_ENSG00000159556	+
chr15	61229319	60488284	RORA_ENSG00000069667	-
chr15	82648861	82543201	CPEB1_ENSG00000214575	-
chr15	37101299	36889204	MEIS2_ENSG00000134138	-
chr15	31435665	31326855	KLF13_ENSG00000169926	+
chr15	57299281	56918623	TCF12_ENSG00000140262	+
chr15	80597937	80404350	ARNT2_ENSG00000172379	+
chr15	96340263	96325938	NR2F2_ENSG00000185551	+
chr15	99716466	99565417	MEF2A_ENSG00000068305	+
chr16	2235742	2223566	E4F1_ENSG00000167967	+
chr16	49857919	49487524	ZNF423_ENSG00000102935	-
chr16	4339597	4314761	GLIS2_ENSG00000126603	+
chr16	4273075	4257186	TFAP4_ENSG00000090447	-
chr16	69704666	69565094	NFAT5_ENSG00000102908	+
chr16	67639185	67562407	CTCF_ENSG00000102974	+
chr16	67101058	67029116	CBFB_ENSG00000067955	+
chr16	68229259	68084751	NFATC3_ENSG00000072736	+
chr16	67198918	67192169	E2F4_ENSG00000205250	+
chr16	986979	981808	SOX8_ENSG00000005513	+
chr16	67169945	67164681	HSF4_ENSG00000102878	+
chr16	86569728	86566829	FOXC2_ENSG00000176692	+
chr16	54286763	54283304	IRX3_ENSG00000177508	-
chr16	73891871	72782885	ZFHX3_ENSG00000140836	-
chr16	86582160	86576368	FOXL1_ENSG00000176678	+
chr16	79600714	79585843	MAF_ENSG00000178573	-
chr16	85922609	85898803	IRF8_ENSG00000140968	+
chr16	29811164	29806106	MAZ_ENSG00000103495	+
chr16	86515418	86510527	FOXF1_ENSG00000103241	+
chr17	48531001	48528526	HOXB1_ENSG00000120094	-
chr17	55325065	55265012	HLF_ENSG00000108924	+
chr17	17837002	17810399	SREBF1_ENSG00000072310	-
chr17	11997510	11977439	ZNF18_ENSG00000154957	-
chr17	39609777	39603536	NEUROD2_ENSG00000171532	-
chr17	7030290	7023020	BCL6B_ENSG00000161940	+
chr17	61409466	61399896	TBX2_ENSG00000121068	+
chr17	43170245	43044295	BRCA1_ENSG00000012048	-
chr17	47928957	47896150	SP2_ENSG00000167182	+
chr17	37745247	37686432	HNF1B_ENSG00000275410	-
chr17	7590170	7588178	SOX15_ENSG00000129194	-
chr17	7687550	7661779	TP53_ENSG00000141510	-
chr17	48544989	48540894	HOXB2_ENSG00000173917	-
chr17	48729178	48724763	HOXB13_ENSG00000159184	-
chr17	48061487	48048329	NFE2L1_ENSG00000082641	+
chr17	48633572	48607227	HOXB7_ENSG00000260027	-
chr17	40093867	40058290	THRA_ENSG00000126351	+
chr17	48614939	48611377	HOXB8_ENSG00000120068	-
chr17	47746119	47733244	TBX21_ENSG00000073861	+
chr17	48604912	48548870	HOXB3_ENSG00000120093	-
chr17	57988259	57971547	VEZF1_ENSG00000136451	-
chr17	67984378	67825524	BPTF_ENSG00000171634	+
chr17	43579620	43527844	ETV4_ENSG00000175832	-
chr17	40100725	40092787	NR1D1_ENSG00000126368	-
chr17	42573239	42567068	MLX_ENSG00000108788	+
chr17	72126420	72121020	SOX9_ENSG00000125398	+
chr17	48604992	48595751	HOXB6_ENSG00000108511	-
chr17	81927714	81918270	MAFG_ENSG00000197063	-
chr17	42388568	42313324	STAT3_ENSG00000168610	-
chr17	42311943	42287547	STAT5A_ENSG00000126561	+
